# STATION: KSFO
# STATION NAME: San Francisco, San Francisco International Airport
# LATITUDE: 37.61961
# LONGITUDE: -122.36558
# ELEVATION [ft]: 10
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,sea_level_pressure_set_1,precip_accum_one_hour_set_1,visibility_set_1,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,Pascals,Millimeters,Statute miles,Celsius,Pascals,Pascals
KSFO,12/29/2020 23:56 UTC,102472.07,15.0,5.0,51.21,3.6,300.0,102480.0,,10.0,4.93,102435.86,102472.88
KSFO,12/30/2020 00:56 UTC,102539.8,13.3,1.7,45.27,4.63,290.0,102530.0,,10.0,1.61,102503.56,102540.82
KSFO,12/30/2020 01:56 UTC,102607.53,12.2,0.0,43.04,4.12,290.0,102600.0,,10.0,-0.1,102571.27,102608.7
KSFO,12/30/2020 02:56 UTC,102641.39,11.7,2.2,52.11,5.66,300.0,102650.0,,10.0,2.11,102605.12,102642.63
KSFO,12/30/2020 03:56 UTC,102709.12,10.6,6.7,76.81,3.09,280.0,102690.0,,10.0,6.66,102672.82,102710.5
KSFO,12/30/2020 04:56 UTC,102709.12,8.9,2.2,62.82,1.54,230.0,102710.0,,10.0,2.12,102672.82,102710.73
KSFO,12/30/2020 05:05 UTC,102709.12,9.0,,66.05,1.54,260.0,,,10.0,2.93,102672.82,102710.71
KSFO,12/30/2020 05:10 UTC,102709.12,9.0,,61.51,1.54,230.0,,,10.0,1.92,102672.82,102710.71
KSFO,12/30/2020 05:15 UTC,102709.12,9.0,,61.51,1.54,230.0,,,10.0,1.92,102672.82,102710.71
KSFO,12/30/2020 05:20 UTC,102709.12,8.0,,65.82,1.54,210.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 05:25 UTC,102709.12,8.0,,65.82,1.54,220.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 05:30 UTC,102709.12,8.0,,65.82,2.06,250.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 05:35 UTC,102709.12,8.0,,65.82,2.57,270.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 05:40 UTC,102742.98,9.0,,66.05,3.09,280.0,,,10.0,2.93,102706.67,102744.58
KSFO,12/30/2020 05:45 UTC,102742.98,9.0,,66.05,3.6,280.0,,,10.0,2.93,102706.67,102744.58
KSFO,12/30/2020 05:50 UTC,102709.12,9.0,,66.05,3.09,270.0,,,10.0,2.93,102672.82,102710.71
KSFO,12/30/2020 05:55 UTC,102709.12,9.0,,61.51,2.06,250.0,,,10.0,1.92,102672.82,102710.71
KSFO,12/30/2020 05:56 UTC,102709.12,8.9,2.2,62.82,2.06,260.0,102710.0,,10.0,2.12,102672.82,102710.73
KSFO,12/30/2020 06:00 UTC,102709.12,9.0,,61.51,3.09,270.0,,,9.0,1.92,102672.82,102710.71
KSFO,12/30/2020 06:05 UTC,102709.12,8.0,,65.82,2.57,270.0,,,8.0,1.93,102672.82,102710.85
KSFO,12/30/2020 06:10 UTC,102709.12,8.0,,65.82,2.57,270.0,,,8.0,1.93,102672.82,102710.85
KSFO,12/30/2020 06:15 UTC,102709.12,8.0,,70.68,2.57,280.0,,,9.0,2.94,102672.82,102710.85
KSFO,12/30/2020 06:20 UTC,102709.12,8.0,,70.68,3.09,280.0,,,9.0,2.94,102672.82,102710.85
KSFO,12/30/2020 06:25 UTC,102709.12,8.0,,70.68,2.57,280.0,,,9.0,2.94,102672.82,102710.85
KSFO,12/30/2020 06:30 UTC,102709.12,8.0,,65.82,3.09,290.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 06:35 UTC,102709.12,8.0,,70.68,3.09,280.0,,,9.0,2.94,102672.82,102710.85
KSFO,12/30/2020 06:40 UTC,102709.12,8.0,,65.82,3.09,280.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 06:45 UTC,102709.12,8.0,,65.82,3.09,280.0,,,10.0,1.93,102672.82,102710.85
KSFO,12/30/2020 06:50 UTC,102709.12,9.0,,66.05,0.0,0.0,,,10.0,2.93,102672.82,102710.71
