# STATION: KSJC
# STATION NAME: San Jose, San Jose International Airport
# LATITUDE: 37.35917
# LONGITUDE: -121.92417
# ELEVATION [ft]: 59
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,sea_level_pressure_set_1,precip_accum_one_hour_set_1,visibility_set_1,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,Pascals,Millimeters,Statute miles,Celsius,Pascals,Pascals
KSJC,12/29/2020 22:00 PST,102742.98,6.0,,65.37,2.06,110.0,,,10.0,-0.08,102524.83,102750.66
KSJC,12/29/2020 22:05 PST,102742.98,6.0,,65.37,1.54,100.0,,,10.0,-0.08,102524.83,102750.66
KSJC,12/29/2020 22:10 PST,102709.12,6.0,,65.37,1.54,100.0,,,10.0,-0.08,102491.04,102716.79
KSJC,12/29/2020 22:15 PST,102742.98,6.0,,65.37,1.54,130.0,,,10.0,-0.08,102524.83,102750.66
KSJC,12/29/2020 22:20 PST,102742.98,7.0,,65.6,0.0,0.0,,,10.0,0.93,102524.83,102749.85
KSJC,12/29/2020 22:25 PST,102742.98,6.0,,65.37,0.0,0.0,,,10.0,-0.08,102524.83,102750.66
KSJC,12/29/2020 22:30 PST,102742.98,6.0,,60.77,1.54,170.0,,,10.0,-1.09,102524.83,102750.66
KSJC,12/29/2020 22:35 PST,102742.98,7.0,,56.72,2.06,170.0,,,10.0,-1.09,102524.83,102749.85
KSJC,12/29/2020 22:40 PST,102742.98,7.0,,56.72,1.54,180.0,,,10.0,-1.09,102524.83,102749.85
KSJC,12/29/2020 22:45 PST,102742.98,7.0,,56.72,1.54,170.0,,,10.0,-1.09,102524.83,102749.85
KSJC,12/29/2020 22:50 PST,102742.98,6.0,,60.77,2.06,150.0,,,10.0,-1.09,102524.83,102750.66
KSJC,12/29/2020 22:53 PST,102742.98,5.6,-1.1,62.02,2.06,150.0,102730.0,,10.0,-1.18,102524.83,102750.98
KSJC,12/29/2020 22:55 PST,102742.98,6.0,,60.77,1.54,150.0,,,10.0,-1.09,102524.83,102750.66
KSJC,12/29/2020 23:00 PST,102742.98,6.0,,60.77,2.06,150.0,,,10.0,-1.09,102524.83,102750.66
KSJC,12/29/2020 23:05 PST,102742.98,5.0,,65.13,1.54,150.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/29/2020 23:10 PST,102742.98,4.0,,69.85,1.54,150.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/29/2020 23:15 PST,102742.98,4.0,,69.85,1.54,150.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/29/2020 23:20 PST,102742.98,4.0,,69.85,2.06,150.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/29/2020 23:25 PST,102742.98,4.0,,69.85,2.06,160.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/29/2020 23:30 PST,102742.98,3.0,,74.96,2.06,160.0,,,10.0,-1.06,102524.83,102753.11
KSJC,12/29/2020 23:35 PST,102742.98,4.0,,69.85,1.54,160.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/29/2020 23:40 PST,102709.12,4.0,,69.85,1.54,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/29/2020 23:45 PST,102709.12,4.0,,69.85,2.06,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/29/2020 23:50 PST,102709.12,4.0,,69.85,2.57,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/29/2020 23:53 PST,102709.12,4.4,-1.1,67.43,2.57,140.0,102690.0,,10.0,-1.17,102491.04,102718.09
KSJC,12/29/2020 23:55 PST,102709.12,4.0,,69.85,2.57,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:00 PST,102709.12,4.0,,69.85,2.57,130.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:05 PST,102709.12,4.0,,69.85,2.57,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:10 PST,102709.12,4.0,,69.85,2.06,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:15 PST,102709.12,4.0,,69.85,2.06,130.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:20 PST,102709.12,5.0,,65.13,2.06,130.0,,,10.0,-1.08,102491.04,102717.6
KSJC,12/30/2020 00:25 PST,102709.12,5.0,,65.13,2.06,110.0,,,10.0,-1.08,102491.04,102717.6
KSJC,12/30/2020 00:30 PST,102709.12,6.0,,60.77,2.06,110.0,,,10.0,-1.09,102491.04,102716.79
KSJC,12/30/2020 00:35 PST,102709.12,5.0,,65.13,2.57,120.0,,,10.0,-1.08,102491.04,102717.6
KSJC,12/30/2020 00:40 PST,102709.12,5.0,,65.13,2.57,130.0,,,10.0,-1.08,102491.04,102717.6
KSJC,12/30/2020 00:45 PST,102709.12,4.0,,69.85,2.57,130.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:50 PST,102709.12,4.0,,69.85,1.54,140.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 00:53 PST,102709.12,3.9,-1.1,69.83,1.54,140.0,102710.0,,10.0,-1.17,102491.04,102718.5
KSJC,12/30/2020 00:55 PST,102709.12,4.0,,69.85,2.06,130.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 01:00 PST,102742.98,4.0,,69.85,1.54,130.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 01:05 PST,102742.98,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/30/2020 01:10 PST,102742.98,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/30/2020 01:15 PST,102709.12,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102491.04,102717.6
KSJC,12/30/2020 01:20 PST,102742.98,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/30/2020 01:25 PST,102709.12,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102491.04,102718.42
KSJC,12/30/2020 01:30 PST,102742.98,5.0,,65.13,1.54,170.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/30/2020 01:35 PST,102742.98,5.0,,65.13,1.54,190.0,,,10.0,-1.08,102524.83,102751.47
KSJC,12/30/2020 01:40 PST,102742.98,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 01:45 PST,102742.98,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 01:50 PST,102742.98,4.0,,69.85,1.54,140.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 01:53 PST,102742.98,3.9,-1.1,69.83,2.06,140.0,102740.0,,10.0,-1.17,102524.83,102752.37
KSJC,12/30/2020 01:55 PST,102742.98,3.0,,69.64,2.06,150.0,,,10.0,-2.07,102524.83,102753.11
KSJC,12/30/2020 02:00 PST,102776.84,3.0,,69.64,1.54,150.0,,,10.0,-2.07,102558.62,102786.98
KSJC,12/30/2020 02:05 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 02:10 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 02:15 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 02:20 PST,102810.71,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:25 PST,102810.71,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:30 PST,102810.71,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:35 PST,102810.71,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:40 PST,102810.71,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:45 PST,102810.71,4.0,,69.85,1.54,150.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 02:50 PST,102810.71,4.0,,69.85,2.06,140.0,,,10.0,-1.07,102592.41,102820.02
